IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.217.248.220,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,22769 kB/s
47.243.203.119,2053,true,HKG,Asia Pacific,Hong Kong,57 ms,19265 kB/s
8.210.151.69,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,18201 kB/s
8.218.3.12,2053,true,HKG,Asia Pacific,Hong Kong,56 ms,16522 kB/s
8.218.18.235,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,15484 kB/s
8.210.55.134,8443,true,HKG,Asia Pacific,Hong Kong,60 ms,13080 kB/s
8.217.85.14,2096,true,HKG,Asia Pacific,Hong Kong,60 ms,12493 kB/s
8.210.151.69,2096,true,HKG,Asia Pacific,Hong Kong,59 ms,10175 kB/s
8.210.151.69,2083,true,HKG,Asia Pacific,Hong Kong,62 ms,9702 kB/s
8.218.110.180,2083,true,HKG,Asia Pacific,Hong Kong,58 ms,9679 kB/s
8.217.248.220,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,9118 kB/s
8.210.55.134,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,9034 kB/s
47.242.176.237,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,8631 kB/s
47.242.234.127,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,8468 kB/s
8.219.194.170,8443,true,SIN,Asia Pacific,Singapore,222 ms,8436 kB/s
8.218.110.180,2087,true,HKG,Asia Pacific,Hong Kong,58 ms,8161 kB/s
47.236.149.107,2087,true,SIN,Asia Pacific,Singapore,225 ms,8139 kB/s
47.236.123.133,2087,true,SIN,Asia Pacific,Singapore,227 ms,8106 kB/s
8.219.93.5,8443,true,SIN,Asia Pacific,Singapore,240 ms,7900 kB/s
8.222.252.150,8443,true,SIN,Asia Pacific,Singapore,233 ms,7806 kB/s
8.218.3.12,2087,true,HKG,Asia Pacific,Hong Kong,56 ms,7801 kB/s
47.243.203.119,2083,true,HKG,Asia Pacific,Hong Kong,57 ms,7764 kB/s
47.236.123.133,2083,true,SIN,Asia Pacific,Singapore,231 ms,7746 kB/s
47.236.123.133,2096,true,SIN,Asia Pacific,Singapore,233 ms,7736 kB/s
47.236.144.208,2096,true,SIN,Asia Pacific,Singapore,245 ms,7713 kB/s
47.236.166.131,2083,true,SIN,Asia Pacific,Singapore,229 ms,7654 kB/s
8.210.55.134,2096,true,HKG,Asia Pacific,Hong Kong,60 ms,7639 kB/s
8.210.55.134,2083,true,HKG,Asia Pacific,Hong Kong,59 ms,7518 kB/s
8.219.124.227,2087,true,SIN,Asia Pacific,Singapore,227 ms,7515 kB/s
8.222.252.150,2096,true,SIN,Asia Pacific,Singapore,223 ms,7464 kB/s
8.219.124.227,2053,true,SIN,Asia Pacific,Singapore,220 ms,7352 kB/s
8.218.3.12,2096,true,HKG,Asia Pacific,Hong Kong,55 ms,7303 kB/s
47.236.144.156,2053,true,SIN,Asia Pacific,Singapore,230 ms,7296 kB/s
47.236.144.156,2096,true,SIN,Asia Pacific,Singapore,236 ms,7129 kB/s
8.222.136.247,2053,true,SIN,Asia Pacific,Singapore,223 ms,7090 kB/s
8.219.124.227,8443,true,SIN,Asia Pacific,Singapore,237 ms,7061 kB/s
8.222.244.192,2083,true,SIN,Asia Pacific,Singapore,227 ms,6976 kB/s
47.236.144.208,2053,true,SIN,Asia Pacific,Singapore,236 ms,6927 kB/s
47.236.5.223,2083,true,SIN,Asia Pacific,Singapore,223 ms,6926 kB/s
8.222.136.247,2083,true,SIN,Asia Pacific,Singapore,222 ms,6814 kB/s
8.222.180.86,2096,true,SIN,Asia Pacific,Singapore,230 ms,6789 kB/s
8.218.3.12,8443,true,HKG,Asia Pacific,Hong Kong,59 ms,6781 kB/s
47.236.7.106,2053,true,SIN,Asia Pacific,Singapore,230 ms,6769 kB/s
47.236.149.107,2053,true,SIN,Asia Pacific,Singapore,235 ms,6766 kB/s
8.219.142.229,2053,true,SIN,Asia Pacific,Singapore,225 ms,6744 kB/s
8.219.206.180,2096,true,SIN,Asia Pacific,Singapore,246 ms,6739 kB/s
47.236.167.231,2083,true,SIN,Asia Pacific,Singapore,243 ms,6706 kB/s
47.236.254.120,2087,true,SIN,Asia Pacific,Singapore,258 ms,6648 kB/s
47.236.104.11,2096,true,SIN,Asia Pacific,Singapore,245 ms,6587 kB/s
8.218.3.12,2083,true,HKG,Asia Pacific,Hong Kong,59 ms,6581 kB/s
47.236.171.205,2083,true,SIN,Asia Pacific,Singapore,232 ms,6555 kB/s
47.236.150.13,2083,true,SIN,Asia Pacific,Singapore,222 ms,6546 kB/s
47.236.150.13,2053,true,SIN,Asia Pacific,Singapore,225 ms,6533 kB/s
8.218.126.53,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,6514 kB/s
8.219.200.145,2053,true,SIN,Asia Pacific,Singapore,245 ms,6498 kB/s
47.236.144.196,2083,true,SIN,Asia Pacific,Singapore,228 ms,6495 kB/s
8.219.178.101,2096,true,SIN,Asia Pacific,Singapore,220 ms,6486 kB/s
8.219.200.145,2096,true,SIN,Asia Pacific,Singapore,238 ms,6474 kB/s
47.236.5.223,2087,true,SIN,Asia Pacific,Singapore,232 ms,6459 kB/s
47.236.180.51,2083,true,SIN,Asia Pacific,Singapore,244 ms,6435 kB/s
47.236.104.11,2087,true,SIN,Asia Pacific,Singapore,230 ms,6417 kB/s
8.219.222.8,2096,true,SIN,Asia Pacific,Singapore,219 ms,6392 kB/s
8.219.202.130,2053,true,SIN,Asia Pacific,Singapore,232 ms,6371 kB/s
47.236.174.206,2096,true,SIN,Asia Pacific,Singapore,239 ms,6362 kB/s
47.237.8.82,2087,true,SIN,Asia Pacific,Singapore,235 ms,6354 kB/s
8.217.85.14,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,6320 kB/s
8.219.142.229,8443,true,SIN,Asia Pacific,Singapore,224 ms,6292 kB/s
47.236.168.17,2053,true,SIN,Asia Pacific,Singapore,245 ms,6287 kB/s
8.219.194.170,2096,true,SIN,Asia Pacific,Singapore,217 ms,6286 kB/s
8.219.0.162,2053,true,SIN,Asia Pacific,Singapore,232 ms,6280 kB/s
47.236.164.215,2053,true,SIN,Asia Pacific,Singapore,233 ms,6252 kB/s
47.236.174.206,2083,true,SIN,Asia Pacific,Singapore,232 ms,6188 kB/s
8.222.140.87,2087,true,SIN,Asia Pacific,Singapore,225 ms,6184 kB/s
47.236.172.71,2053,true,SIN,Asia Pacific,Singapore,233 ms,6178 kB/s
8.222.140.87,443,true,SIN,Asia Pacific,Singapore,233 ms,6156 kB/s
47.245.107.174,8443,true,SIN,Asia Pacific,Singapore,241 ms,6062 kB/s
8.222.180.86,8443,true,SIN,Asia Pacific,Singapore,227 ms,6056 kB/s
8.219.124.227,2096,true,SIN,Asia Pacific,Singapore,223 ms,6053 kB/s
8.219.178.101,2083,true,SIN,Asia Pacific,Singapore,237 ms,6036 kB/s
8.219.222.8,2083,true,SIN,Asia Pacific,Singapore,223 ms,6027 kB/s
8.219.142.229,2096,true,SIN,Asia Pacific,Singapore,224 ms,6022 kB/s
8.222.140.87,2096,true,SIN,Asia Pacific,Singapore,229 ms,6014 kB/s
8.222.140.87,8443,true,SIN,Asia Pacific,Singapore,225 ms,5944 kB/s
8.219.200.145,2083,true,SIN,Asia Pacific,Singapore,243 ms,5928 kB/s
8.219.195.47,2053,true,SIN,Asia Pacific,Singapore,231 ms,5914 kB/s
47.236.87.246,2096,true,SIN,Asia Pacific,Singapore,226 ms,5902 kB/s
8.219.40.37,2053,true,SIN,Asia Pacific,Singapore,220 ms,5890 kB/s
8.222.244.192,2096,true,SIN,Asia Pacific,Singapore,217 ms,5890 kB/s
8.222.146.222,2083,true,SIN,Asia Pacific,Singapore,231 ms,5855 kB/s
47.236.97.90,2053,true,SIN,Asia Pacific,Singapore,220 ms,5852 kB/s
8.222.202.163,2083,true,SIN,Asia Pacific,Singapore,224 ms,5835 kB/s
8.219.206.180,2053,true,SIN,Asia Pacific,Singapore,231 ms,5830 kB/s
47.236.87.246,8443,true,SIN,Asia Pacific,Singapore,246 ms,5794 kB/s
47.236.164.215,2087,true,SIN,Asia Pacific,Singapore,232 ms,5764 kB/s
47.236.180.51,8443,true,SIN,Asia Pacific,Singapore,221 ms,5762 kB/s
47.236.7.106,2087,true,SIN,Asia Pacific,Singapore,232 ms,5746 kB/s
8.222.136.247,2087,true,SIN,Asia Pacific,Singapore,221 ms,5742 kB/s
8.219.126.240,443,true,SIN,Asia Pacific,Singapore,230 ms,5713 kB/s
47.236.97.90,2087,true,SIN,Asia Pacific,Singapore,226 ms,5708 kB/s
47.236.7.106,2083,true,SIN,Asia Pacific,Singapore,229 ms,5695 kB/s
47.236.172.95,2096,true,SIN,Asia Pacific,Singapore,227 ms,5683 kB/s
8.219.126.240,2053,true,SIN,Asia Pacific,Singapore,245 ms,5680 kB/s
8.219.93.5,2083,true,SIN,Asia Pacific,Singapore,241 ms,5675 kB/s
8.219.126.240,2096,true,SIN,Asia Pacific,Singapore,248 ms,5656 kB/s
8.222.244.192,2087,true,SIN,Asia Pacific,Singapore,230 ms,5633 kB/s
47.236.174.206,2087,true,SIN,Asia Pacific,Singapore,241 ms,5628 kB/s
47.236.144.156,2087,true,SIN,Asia Pacific,Singapore,243 ms,5621 kB/s
47.236.87.246,2087,true,SIN,Asia Pacific,Singapore,221 ms,5611 kB/s
47.236.169.15,2053,true,SIN,Asia Pacific,Singapore,227 ms,5605 kB/s
8.219.40.37,2083,true,SIN,Asia Pacific,Singapore,248 ms,5592 kB/s
47.236.169.15,2087,true,SIN,Asia Pacific,Singapore,256 ms,5588 kB/s
47.236.104.98,2087,true,SIN,Asia Pacific,Singapore,244 ms,5579 kB/s
47.242.234.127,2083,true,HKG,Asia Pacific,Hong Kong,66 ms,5573 kB/s
47.236.172.95,2087,true,SIN,Asia Pacific,Singapore,234 ms,5559 kB/s
8.219.174.142,8443,true,SIN,Asia Pacific,Singapore,239 ms,5556 kB/s
8.219.139.13,2053,true,SIN,Asia Pacific,Singapore,229 ms,5548 kB/s
47.236.93.176,2087,true,SIN,Asia Pacific,Singapore,246 ms,5535 kB/s
47.236.180.51,2096,true,SIN,Asia Pacific,Singapore,220 ms,5512 kB/s
8.219.139.13,2096,true,SIN,Asia Pacific,Singapore,211 ms,5503 kB/s
47.236.169.141,2087,true,SIN,Asia Pacific,Singapore,226 ms,5482 kB/s
47.236.167.231,2087,true,SIN,Asia Pacific,Singapore,239 ms,5482 kB/s
47.236.158.158,2083,true,SIN,Asia Pacific,Singapore,221 ms,5478 kB/s
47.236.174.206,2053,true,SIN,Asia Pacific,Singapore,231 ms,5467 kB/s
47.236.167.231,2096,true,SIN,Asia Pacific,Singapore,241 ms,5462 kB/s
47.236.144.196,8443,true,SIN,Asia Pacific,Singapore,222 ms,5461 kB/s
47.236.169.15,2083,true,SIN,Asia Pacific,Singapore,235 ms,5456 kB/s
47.236.10.100,2087,true,SIN,Asia Pacific,Singapore,223 ms,5434 kB/s
8.219.202.130,2096,true,SIN,Asia Pacific,Singapore,246 ms,5423 kB/s
8.219.206.180,2087,true,SIN,Asia Pacific,Singapore,227 ms,5420 kB/s
47.236.172.95,8443,true,SIN,Asia Pacific,Singapore,229 ms,5420 kB/s
8.219.40.37,2096,true,SIN,Asia Pacific,Singapore,243 ms,5418 kB/s
47.236.158.158,2087,true,SIN,Asia Pacific,Singapore,239 ms,5394 kB/s
8.219.104.242,443,true,SIN,Asia Pacific,Singapore,239 ms,5394 kB/s
47.236.166.131,8443,true,SIN,Asia Pacific,Singapore,242 ms,5387 kB/s
8.222.140.87,2083,true,SIN,Asia Pacific,Singapore,228 ms,5386 kB/s
47.236.164.215,2083,true,SIN,Asia Pacific,Singapore,241 ms,5383 kB/s
8.219.200.145,2087,true,SIN,Asia Pacific,Singapore,234 ms,5371 kB/s
47.236.169.141,8443,true,SIN,Asia Pacific,Singapore,243 ms,5363 kB/s
8.222.202.163,2053,true,SIN,Asia Pacific,Singapore,226 ms,5358 kB/s
8.222.180.86,2053,true,SIN,Asia Pacific,Singapore,217 ms,5357 kB/s
47.236.93.176,2096,true,SIN,Asia Pacific,Singapore,233 ms,5350 kB/s
47.236.121.7,2083,true,SIN,Asia Pacific,Singapore,231 ms,5322 kB/s
8.222.214.231,2087,true,SIN,Asia Pacific,Singapore,225 ms,5304 kB/s
8.219.3.53,2053,true,SIN,Asia Pacific,Singapore,219 ms,5279 kB/s
8.219.142.229,2087,true,SIN,Asia Pacific,Singapore,223 ms,5269 kB/s
47.236.104.98,8443,true,SIN,Asia Pacific,Singapore,234 ms,5265 kB/s
47.236.169.141,2083,true,SIN,Asia Pacific,Singapore,223 ms,5253 kB/s
47.236.174.206,8443,true,SIN,Asia Pacific,Singapore,227 ms,5253 kB/s
47.236.150.13,8443,true,SIN,Asia Pacific,Singapore,234 ms,5218 kB/s
8.222.180.86,2087,true,SIN,Asia Pacific,Singapore,230 ms,5202 kB/s
8.219.174.142,443,true,SIN,Asia Pacific,Singapore,219 ms,5198 kB/s
8.219.40.37,2087,true,SIN,Asia Pacific,Singapore,224 ms,5177 kB/s
8.217.248.220,2087,true,HKG,Asia Pacific,Hong Kong,69 ms,5147 kB/s
8.218.126.53,2087,true,HKG,Asia Pacific,Hong Kong,58 ms,5141 kB/s
47.236.75.113,2087,true,SIN,Asia Pacific,Singapore,228 ms,5140 kB/s
47.236.172.71,2087,true,SIN,Asia Pacific,Singapore,241 ms,5113 kB/s
47.236.75.113,2096,true,SIN,Asia Pacific,Singapore,279 ms,5102 kB/s
8.222.202.163,2096,true,SIN,Asia Pacific,Singapore,237 ms,5094 kB/s
47.236.166.131,2096,true,SIN,Asia Pacific,Singapore,234 ms,5093 kB/s
8.219.104.242,2096,true,SIN,Asia Pacific,Singapore,224 ms,5053 kB/s
47.236.158.158,2096,true,SIN,Asia Pacific,Singapore,263 ms,5048 kB/s
8.219.145.245,8443,true,SIN,Asia Pacific,Singapore,239 ms,5041 kB/s
8.219.101.72,8443,true,SIN,Asia Pacific,Singapore,222 ms,5037 kB/s
47.236.202.91,2053,true,SIN,Asia Pacific,Singapore,243 ms,4981 kB/s
8.219.61.52,2087,true,SIN,Asia Pacific,Singapore,230 ms,4978 kB/s
8.218.110.180,8443,true,HKG,Asia Pacific,Hong Kong,56 ms,4977 kB/s
47.236.7.106,8443,true,SIN,Asia Pacific,Singapore,235 ms,4972 kB/s
47.236.144.156,8443,true,SIN,Asia Pacific,Singapore,222 ms,4946 kB/s
8.222.214.231,2096,true,SIN,Asia Pacific,Singapore,231 ms,4939 kB/s
8.222.180.86,2083,true,SIN,Asia Pacific,Singapore,224 ms,4931 kB/s
8.219.139.13,2083,true,SIN,Asia Pacific,Singapore,231 ms,4926 kB/s
8.222.140.87,2053,true,SIN,Asia Pacific,Singapore,219 ms,4917 kB/s
8.219.0.162,443,true,SIN,Asia Pacific,Singapore,219 ms,4911 kB/s
8.219.222.8,2087,true,SIN,Asia Pacific,Singapore,225 ms,4897 kB/s
47.236.171.205,2096,true,SIN,Asia Pacific,Singapore,228 ms,4892 kB/s
8.219.178.101,8443,true,SIN,Asia Pacific,Singapore,230 ms,4844 kB/s
47.236.144.208,2083,true,SIN,Asia Pacific,Singapore,258 ms,4843 kB/s
